Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Han_et_al_2013,2013,"Metabolic energy sensors (AMPK and SIRT1), protein carbonylation and cardiac failure as biomarkers of thermal stress in an intertidal limpet: linking energetic allocation with environmental temperature during aerial emersion",10.1242/jeb.084269,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Cardiovascular physiology",heart rate; heat shock proteins,NA
Vornanen_et_al_2014,2014,Acute heat tolerance of cardiac excitation in the brown trout (Salmo trutta fario),10.1242/jeb.091272,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,Cardiovascular physiology,electrocardiogram; heart rate,NA
Hall_and_Warner_2020,2020,Ecologically relevant thermal fluctuations enhance offspring fitness: biological and methodological implications for studies of thermal developmental plasticity,10.1242/jeb.231902,Journal of Experimental Biology,Reptile,Temperature,Mix (before and after hatching),"Embryos, Larvae or juveniles","Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology, Development",developmental rate; water uptake; oxygen consumption; heart rate; body mass; survival,NA
Cheviron_et_al_2013,2013,Contributions of phenotypic plasticity to differences in thermogenic performance between highland and lowland deer mice,10.1242/jeb.075598,Journal of Experimental Biology,Mammal,O₂/CO₂,Mix (before and after hatching),Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",oxygen consumption; body mass; thermogenic endurance,NA
Mensch_et_al_2017,2017,Enhanced fertility and chill tolerance after cold-induced reproductive arrest in females of temperate species of the Drosophila buzzatii complex,10.1242/jeb.150540,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Reproduction",ovarian maturity; CO2 production; chill coma recovery time; fertility,NA
Henry_and_Harrison_2014,2014,Effects of body size on the oxygen sensitivity of dragonfly flight,10.1242/jeb.095828,Journal of Experimental Biology,Insect,O₂/CO₂,Adults,Adults,Energetics and metabolism,CO2 emission rates; metabolic rate,NA
Maloney_and_Careau_2022,2022,Individual variation in heat substitution: is activity in the cold energetically cheaper for some individuals than others?,10.1242/jeb.244186,Journal of Experimental Biology,Mammal,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption rate; body mass; activity–thermoregulatory heat substitution,NA
Barshis_et_al_2018,2018,High-frequency temperature variability mirrors fixed differences in thermal limits of the massive coral Porites lobata,10.1242/jeb.188581,Journal of Experimental Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Development",growth; Hsp70; ubiquitin conjugates,NA
Tzaneva_and_Perry_2016,2016,Evidence for a role of heme oxygenase-1 in the control of cardiac function in zebrafish (Danio rerio) larvae exposed to hypoxia,10.1242/jeb.136853,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,Cardiovascular physiology,heart rate; cardiac output,NA
Kristensen_et_al_2016,2016,Proteomic data reveal a physiological basis for costs and benefits associated with thermal acclimation,10.1242/jeb.132696,Journal of Experimental Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,CTmin; CTmax,NA
Maysov_2014,2014,"Chill coma temperatures appear similar along a latitudinal gradient, in contrast to divergent chill coma recovery times, in two widespread ant species",10.1242/jeb.096958,Journal of Experimental Biology,Insect,Temperature,Mix (before and after hatching),Adults,Environmental tolerance and preference,chill coma temperatures; time of recovery after chill coma; hardening temperature;,NA
Truebenbach_et_al_2013,2013,Ventilation rates and activity levels of juvenile jumbo squid under metabolic suppression in the oxygen minimum zone,10.1242/jeb.072587,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,Energetics and metabolism,oxygen consumption; ventilation stroke volume; mantle contraction frequency; mantle contraction strength,NA
Salachan_and_Sorensen_2017,2017,Critical thermal limits affected differently by developmental and adult thermal fluctuations,10.1242/jeb.165308,Journal of Experimental Biology,Insect,Temperature,Mix (before and after hatching),Adults,Environmental tolerance and preference,CTmin; CTmax,NA
Christensen_et_al_2021,2021,"Effects of temperature on physiological performance and behavioral thermoregulation in an invasive fish, the round goby",10.1242/jeb.237669,Journal of Experimental Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism",oxygen consumption; CTmax; preference temperature; lower avoidance temperature; upper avoidance temperature,NA
Lundsgaard_et_al_2022,2022,Early exposure to UV radiation causes telomere shortening and poorer condition later in life,10.1242/jeb.243924,Journal of Experimental Biology,Amphibian,Other,Larvae or juveniles,"Larvae or juveniles, Adults",Development,age; snout-to-vent length; body mass,NA
Devereaux_and_Pamenter_2023,2023,Adenosine and γ-aminobutyric acid partially regulate metabolic and ventilatory responses of Damaraland mole-rats to acute hypoxia,10.1242/jeb.246186,Journal of Experimental Biology,Mammal,O₂/CO₂,Adults,Adults,Energetics and metabolism,oxygen consumption; CO2 production; body temperature; respiratory frequency; tidal volume,NA
Fu_et_al_2014,2014,"Interspecific variation in hypoxia tolerance, swimming performance and plasticity in cyprinids that prefer different habitats",10.1242/jeb.089268,Journal of Experimental Biology,Fish,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",aquatic surface respiration; Pcrit; oxygen consumption rate; oxygen threshold for loss of equilibrium;,NA
Callier_et_al_2013,2013,The role of reduced oxygen in the developmental physiology of growth and metamorphosis initiation in Drosophila melanogaster,10.1242/jeb.093120,Journal of Experimental Biology,Insect,O₂/CO₂,Larvae or juveniles,Larvae or juveniles,Development,time to pupariation; critical weight; body mass; timing of pupariation,NA
Schweizer_et_al_2023,2023,"Thermal acclimation in a non-migratory songbird occurs via changes to thermogenic capacity, but not conductance",10.1242/jeb.245208,Journal of Experimental Biology,Bird,Temperature,Adults,Adults,Energetics and metabolism,oxygen consumption,NA
Rossi_and_Wright_2020,2020,"Hypoxia-seeking behavior, metabolic depression and skeletal muscle function in an amphibious fish out of water",10.1242/jeb.213355,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",oxygen preference; oxygen consumption; body mass,NA
Ivanina_et_al_2016,2016,Intermittent hypoxia leads to functional reorganization of mitochondria and affects cellular bioenergetics in marine molluscs,10.1242/jeb.134700,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",mitochondrial respiration; metabolic enzyme activity; heat shock proteins; oxidative stress,NA
Ivanina_and_Sokolova_2016,2016,Effects of intermittent hypoxia on oxidative stress and protein degradation in molluscan mitochondria,10.1242/jeb.146209,Journal of Experimental Biology,Other invertebrate,O₂/CO₂,Adults,Adults,"Environmental tolerance and preference, Immune function and stress physiology",heat shock proteins; oxidative stress; total antioxidant capacity,NA
Ayala-Berdon_et_al_2017,2017,Effect of diet quality and ambient temperature on the use of torpor by two species of neotropical nectar-feeding bats,10.1242/jeb.142422,Journal of Experimental Biology,Mammal,"Temperature, Other",Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Development",skin temperature; energy intake; body mass,NA
Balaban_and_Azizi_2017,2017,Lowering metabolic rate mitigates muscle atrophy in western fence lizards,10.1242/jeb.154294,Journal of Experimental Biology,Reptile,Temperature,Adults,Adults,"Energetics and metabolism, Development",metabolic rate; muscle performance; body mass,NA
Catitti_et_al_2022,2022,Hungry or angry? Experimental evidence for the effects of food availability on two measures of stress in developing wild raptor nestlings,10.1242/jeb.244102,Journal of Experimental Biology,Bird,Other,Larvae or juveniles,Larvae or juveniles,"Immune function and stress physiology, Development",body condition; feather corticosterone; stress load,NA
Foucart_et_al_2014,2014,Influence of reproductive mode on metabolic costs of reproduction: insight from the bimodal lizard Zootoca vivipara,10.1242/jeb.104315,Journal of Experimental Biology,Reptile,O₂/CO₂,Adults,Adults,"Energetics and metabolism, Reproduction, Development",Oxygen consumption; fecundity; metabolic rate,NA
Giayetto_et_al_2020,2020,Modulating offspring responses: concerted effects of stress and immunogenic challenge in the parental generation,10.1242/jeb.219386,Journal of Experimental Biology,Bird,"Temperature, Interaction with non-climatic stressor",Adults,"Larvae or juveniles, Adults","Environmental tolerance and preference, Immune function and stress physiology, Development",Chronic heat stress; immune challenge; development,NA
Guell_et_al_2022,2022,Ontogeny of risk assessment and escape-hatching performance by red-eyed treefrog embryos in two threat contexts,10.1242/jeb.244533,Journal of Experimental Biology,Amphibian,"O₂/CO₂, Interaction with non-climatic stressor",Embryos,"Embryos, Larvae or juveniles","Energetics and metabolism, Development",hatching performance; hypoxia; developmental stages,NA
Larson_et_al_2014,2014,Wood frog adaptations to overwintering in Alaska: new limits to freezing tolerance,10.1242/jeb.101931,Journal of Experimental Biology,Amphibian,Temperature,Adults,Adults,Environmental tolerance and preference,glucose concentration; glycolipid concentration,NA
Lear_et_al_2017,2017,Correlations of metabolic rate and body acceleration in three species of coastal sharks under contrasting temperature regimes,10.1242/jeb.146993,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Adults,Adults,Energetics and metabolism,metabolic rate,NA
Liu_et_al_2017,2017,Long-term programming effect of embryonic hypoxia exposure and high-carbohydrate diet at first feeding on glucose metabolism in juvenile rainbow trout,10.1242/jeb.161406,Journal of Experimental Biology,Fish,O₂/CO₂,Embryos,Larvae or juveniles,"Energetics and metabolism, Development",early development; growth performance; glucose metabolism,NA
Lopez-Patino_et_al_2014,2014,Stress inhibition of melatonin synthesis in the pineal organ of rainbow trout (Oncorhynchus mykiss) is mediated by cortisol,10.1242/jeb.087916,Journal of Experimental Biology,Fish,O₂/CO₂,Adults,Adults,Energetics and metabolism,Hypoxia; melatonin synthesis,NA
Madaro_et_al_2015,2015,Stress in Atlantic salmon: response to unpredictable chronic stress,10.1242/jeb.120535,Journal of Experimental Biology,Fish,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,"Immune function and stress physiology, Development",Cortisol synthesis; growth; gene expression,NA
McLennan_et_al_2018,2018,Telomere elongation during early development is independent of environmental temperatures in Atlantic salmon,10.1242/jeb.178616,Journal of Experimental Biology,Fish,Temperature,"Embryos, Larvae or juveniles","Embryos, Larvae or juveniles","Immune function and stress physiology, Development",Oxidative stress; physiology; rate of cell proliferation,NA
